Name,Sex,NOC,Year,Season,City,Sport,Event,Medal
Edgar Lindenau Aabye,M,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Arvo Ossian Aaltonen,M,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Arvo Ossian Aaltonen,M,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Juhamatti Tapio Aaltonen,M,FIN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Paavo Johannes Aaltonen,M,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Paavo Johannes Aaltonen,M,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Paavo Johannes Aaltonen,M,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
Paavo Johannes Aaltonen,M,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Johannes Aaltonen,M,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Kjetil Andr Aamodt,M,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
Kjetil Andr Aamodt,M,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
Kjetil Andr Aamodt,M,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
Kjetil Andr Aamodt,M,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
Kjetil Andr Aamodt,M,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Kjetil Andr Aamodt,M,NOR,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Ragnhild Margrethe Aamodt,F,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
Alf Lied Aanning,M,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Willemien Aardenburg,F,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
